DateTime,Number of sales,Sales USD
2021-04-06,3410790,395875026.1
2021-04-07,3416653,398064289.8
2021-04-08,3420359,408473950.9
2021-04-09,3423636,414554665.3
2021-04-10,3426553,418074480.9
2021-04-11,3429650,423507794.1
2021-04-12,3432387,429008211.7
2021-04-13,3435313,435715123
2021-04-14,3438694,440047071.6
2021-04-15,3441358,444712922.7
2021-04-16,3444529,448698195.8
2021-04-17,3447688,452441703.3
2021-04-18,3450518,455725246.6
2021-04-19,3452771,459548259.8
2021-04-20,3454326,463264370.1
2021-04-21,3456544,466157400.3
2021-04-22,3459241,469577662
2021-04-23,3462282,472869588.9
2021-04-24,3464592,475023913.1
2021-04-25,3466899,476621324.9
2021-04-26,3470070,479789425
2021-04-27,3474828,486621010.5
2021-04-28,3478279,490428118.6
2021-04-29,3480803,492986265.4
2021-04-30,3483533,496036244.4
2021-05-01,3496916,503682139.9
2021-05-02,3500973,513070708.8
2021-05-03,3514320,617691624.4
2021-05-04,3518970,647017825.9
2021-05-05,3521664,658801095.6
2021-05-06,3524145,667023407.5
2021-05-07,3526832,672913188.3
2021-05-08,3528164,681934599.2
2021-05-09,3530891,690566072
2021-05-10,3531870,697354779.2
2021-05-11,3533277,706804459.7
2021-05-12,3537039,727951125.3
2021-05-13,3540405,741126804.1
2021-05-14,3544070,749116064.8
2021-05-15,3547538,755040542.2
2021-05-16,3550231,760409062.7
2021-05-17,3552316,763016039.7
2021-05-18,3554590,766709724.4
2021-05-19,3556204,768599262.4
2021-05-20,3558524,770752678.8
2021-05-21,3561715,773272372.1
2021-05-22,3567902,777907920.5
2021-05-23,3575258,780938102.4
2021-05-24,3579121,784955557.9
2021-05-25,3582674,787313917
2021-05-26,3585220,790145899.2
2021-05-27,3588367,793543028.2
2021-05-28,3591213,797039489.1
2021-05-29,3593630,799717447.5
2021-05-30,3597079,802895959.4
2021-05-31,3603012,806055366.4
2021-06-01,3609792,810947701.2
2021-06-02,3612218,813228333.7
2021-06-03,3614696,815475353
2021-06-04,3617340,817067145.2
2021-06-05,3619511,819094643.6
2021-06-06,3621701,822064682.3
2021-06-07,3623941,826834238.5
2021-06-08,3626733,830484547.8
2021-06-09,3629930,832841890
2021-06-10,3633355,835910778.3
2021-06-11,3643796,840295863.1
2021-06-12,3646020,841962137.9
2021-06-13,3648355,843661981
2021-06-14,3652616,845951073.1
2021-06-15,3662907,851466080.5
2021-06-16,3667078,855476052.2
2021-06-17,3671310,859063642.2
2021-06-18,3685275,862964880.4
2021-06-19,3700914,869083604.8
2021-06-20,3720253,880663887.9
2021-06-21,3739496,891302456.6
2021-06-22,3744307,895546725.2
2021-06-23,3749850,900528213.2
2021-06-24,3754958,905247304.9
2021-06-25,3766861,913658772.9
2021-06-26,3774736,920787091.7
2021-06-27,3793198,928538800.3
2021-06-28,3802027,934589138.7
2021-06-29,3808903,940309277.8
2021-06-30,3851036,950365692.1
2021-07-01,3870863,954773669.3
2021-07-02,3878578,958697129.4
2021-07-03,3885202,961630835.1
2021-07-04,3892723,968352348.2
2021-07-05,3898904,973167228.1
2021-07-06,3905379,978670676.6
2021-07-07,3915140,986621183.2
2021-07-08,3932181,993146825.9
2021-07-09,3942571,1002620323
2021-07-10,3953300,1009743232
2021-07-11,3964789,1017465727
2021-07-12,3975219,1025280934
2021-07-13,3989934,1034850335
2021-07-14,4001438,1041746930
2021-07-15,4014654,1051080287
2021-07-16,4030667,1061189052
2021-07-17,4046276,1074614165
2021-07-18,4058832,1082417119
2021-07-19,4069627,1091011150
2021-07-20,4087620,1098900957
2021-07-21,4094354,1104588756
2021-07-22,4098294,1108746661
2021-07-23,4102268,1113191008
2021-07-24,4106682,1117499523
2021-07-25,4110946,1121572794
2021-07-26,4113885,1128509340
2021-07-27,4117090,1133225271
2021-07-28,4120522,1137330482
2021-07-29,4123550,1145261149
2021-07-30,4126015,1178780621
2021-07-31,4129564,1226414249
2021-08-01,4135398,1277342637
2021-08-02,4140311,1293171403
2021-08-03,4152357,1324928800
2021-08-04,4166241,1389024268
2021-08-05,4183363,1454504376
2021-08-06,4210093,1541326303
2021-08-07,4257439,1595201804
2021-08-08,4310666,1665518414
2021-08-09,4378160,1721289279
2021-08-10,4435777,1773023523
2021-08-11,4485132,1820964984
2021-08-12,4522302,1859579582
2021-08-13,4578154,1908677820
2021-08-14,4609586,1947327190
2021-08-15,4654509,1982400876
2021-08-16,4688715,2014498290
2021-08-17,4702120,2035039713
2021-08-18,4711413,2051667871
2021-08-19,4727591,2074378233
2021-08-20,4741358,2117825791
2021-08-21,4757132,2169601016
2021-08-22,4773616,2226724474
2021-08-23,4787621,2390240598
2021-08-24,4802500,2509832932
2021-08-25,4817771,2589367486
2021-08-26,4831797,2658455755
2021-08-27,4869824,2768604616
2021-08-28,4896685,3034207397
2021-08-29,4930376,3380886964
2021-08-30,4960179,3529621146
2021-08-31,4982456,3611689705
2021-09-01,4996761,3689842062
2021-09-02,5005698,3746434992
2021-09-03,5014911,3793576378
2021-09-04,5033735,3842097831
2021-09-05,5063060,3888523804
2021-09-06,5073381,3925462908
2021-09-07,5079964,3948775531
2021-09-08,5094730,3972953443
2021-09-09,5105892,3998099029
2021-09-10,5117390,4025359287
2021-09-11,5131550,4049627027
2021-09-12,5140751,4066624906
2021-09-13,5148090,4091997020
2021-09-14,5153998,4116457061
2021-09-15,5175368,4155045254
2021-09-16,5190659,4223475427
2021-09-17,5210809,4255060856
2021-09-18,5226121,4285580339
2021-09-19,5236299,4314549393
2021-09-20,5241459,4332977093
2021-09-21,5245320,4350955442
2021-09-22,5249461,4366079406
2021-09-23,5257037,4405838440
2021-09-24,5271377,4440618737
2021-09-25,5280835,4475763443
2021-09-26,5301299,4517960140
2021-09-27,5320348,4557089352
2021-09-28,5334721,4590479458
2021-09-29,5344074,4623389461
2021-09-30,5359870,4666869102
2021-10-01,5365744,4710388930
2021-10-02,5373203,4747676904
2021-10-03,5383921,4797772264
2021-10-04,5392755,4849845594
2021-10-05,5401843,4895123878
2021-10-06,5409461,4927879301
2021-10-07,5423576,4991443440
2021-10-08,5430488,5042956880
2021-10-09,5435199,5071364039
2021-10-10,5439551,5098339671
2021-10-11,5443517,5118585299
2021-10-12,5447464,5145589353
2021-10-13,5451736,5188983689
2021-10-14,5454980,5214741857
2021-10-15,5458618,5234281388
2021-10-16,5463453,5254664880
2021-10-17,5472646,5280289377
2021-10-18,5483613,5319437148
2021-10-19,5487666,5343035676
2021-10-20,5491685,5366206573
2021-10-21,5496655,5388649823
2021-10-22,5502028,5412941865
2021-10-23,5511242,5449979095
2021-10-24,5514883,5467737073
2021-10-25,5517392,5487409622
2021-10-26,5519419,5504353167
2021-10-27,5521166,5523329283
2021-10-28,5522775,5541152103
2021-10-29,5524338,5562046913
2021-10-30,5526199,5574365929
2021-10-31,5528405,5588405253
2021-11-01,5530321,5601489741
2021-11-02,5531880,5613966172
2021-11-03,5533700,5630883326
2021-11-04,5535630,5646601546
2021-11-05,5537632,5659467634
2021-11-06,5539500,5676407968
2021-11-07,5542472,5692665480
2021-11-08,5544941,5713132544
2021-11-09,5546250,5729385849
2021-11-10,5547563,5748945403
2021-11-11,5548895,5767733300
2021-11-12,5550459,5791857550
2021-11-13,5553113,5849346765
2021-11-14,5557415,5915302025
2021-11-15,5560760,5967986696
2021-11-16,5564053,6028892880
2021-11-17,5568159,6084047781
2021-11-18,5571515,6122748401
2021-11-19,5574449,6149638139
2021-11-20,5576752,6168696033
2021-11-21,5579068,6187969666
2021-11-22,5582331,6209062634
2021-11-23,5585057,6225758961
2021-11-24,5587041,6243316603
2021-11-25,5588659,6259718746
2021-11-26,5590349,6272300361
2021-11-27,5591988,6283293753
2021-11-28,5593589,6296422168
2021-11-29,5595574,6314397852
2021-11-30,5596971,6328889109
2021-12-01,5598278,6348239673
2021-12-02,5599986,6368588864
2021-12-03,5601499,6397201132
2021-12-04,5602896,6416375713
2021-12-05,5604173,6431957842
2021-12-06,5605537,6452406644
2021-12-07,5607092,6470537739
2021-12-08,5609128,6486165839
2021-12-09,5610805,6514301718
2021-12-10,5613664,6532889024
2021-12-11,5616084,6547643266
2021-12-12,5619001,6568539415
2021-12-13,5623135,6640910365
2021-12-14,5626291,6700790973
2021-12-15,5628694,6728435904
2021-12-16,5630761,6751278971
2021-12-17,5632899,6772941275
2021-12-18,5634997,6787781314
2021-12-19,5637377,6803831808
2021-12-20,5639238,6817576304
2021-12-21,5641153,6836868029
2021-12-22,5643036,6858840221
2021-12-23,5645130,6883369664
2021-12-24,5647486,6923490137
2021-12-25,5649689,6946520197
2021-12-26,5652279,6989713484
2021-12-27,5655805,7043340781
2021-12-28,5658401,7072498007
2021-12-29,5660737,7102685909
2021-12-30,5663581,7136340255
2021-12-31,5668403,7185424603
2022-01-01,5672884,7257599193
2022-01-02,5677878,7339699285
2022-01-03,5681813,7410039843
2022-01-04,5685487,7465853607
2022-01-05,5713237,7533846248
2022-01-06,5718596,7574495674
2022-01-07,5722324,7607589320
2022-01-08,1168614,5805565731
2022-01-09,6035908,8045662011
2022-01-10,6153191,8141228682
2022-01-11,6281685,8230273635
2022-01-12,6370388,8368904761
2022-01-13,6406725,8431170539
2022-01-14,6421814,8479155335
2022-01-15,6468571,8591027713
2022-01-16,6560249,8685451609
2022-01-17,6640490,8775270767
2022-01-18,6696241,8853792604
2022-01-19,6751031,9028749091
2022-01-20,6768164,9097130685
2022-01-21,6778720,9161390837
2022-01-22,6854896,9240313147
2022-01-23,6976754,9354095939
2022-01-24,7034404,9403097339
2022-01-25,7068025,9475321379
2022-01-26,7173089,9670165587
2022-01-27,7213568,9748909085
2022-01-28,7229147,9815114724
2022-01-29,7353623,9963989935
2022-01-30,7488916,10348769464
2022-01-31,7830466,10740777028
2022-02-01,7865321,10855803361
2022-02-02,7952203,10978685485
2022-02-03,7969233,11028939100
2022-02-04,7982978,11076352392
2022-02-05,8057964,11155921269
2022-02-06,8091669,11208510393
2022-02-07,8170071,11293129504
2022-02-08,8247828,11518158242
2022-02-09,8267202,11570005052
2022-02-10,8279721,11619237333
2022-02-11,8293700,11676181749
2022-02-12,8303719,11735359627
2022-02-13,8396274,11839154978
2022-02-14,8419708,11886304133
2022-02-15,8438350,11945789735
2022-02-16,8451997,11992429994
2022-02-17,8463137,12024810701
2022-02-18,8472810,12052594383
2022-02-19,8482435,12077220096
2022-02-20,8490344,12102262466
2022-02-21,8502589,12131452281
2022-02-22,8510726,12152110037
2022-02-23,8518728,12177214971
2022-02-24,8527275,12211971796
2022-02-25,8536050,12243979625
2022-02-26,9097865,12586467215
2022-02-27,9336077,12758873317
2022-02-28,9365293,12793035836
2022-03-01,9371247,12806902332
2022-03-02,9376488,12825106126
2022-03-03,9382090,12842806741
2022-03-04,9387363,12862187719
2022-03-05,9392221,12875139556
2022-03-06,9376913,12888814542
2022-03-07,9273318,12701780281
2022-03-08,9279065,12725724348
2022-03-09,9349316,12867095984
2022-03-10,9355963,12889784193
2022-03-11,9363605,12932192765
2022-03-12,9529503,13133463008
2022-03-13,9652346,13280895545
2022-03-14,9775928,13501435516
2022-03-15,9855748,13591703554
2022-03-16,9862192,13639908989
2022-03-17,9869535,13735398584
2022-03-18,9877668,13810446274
2022-03-19,9885564,13882872418
2022-03-20,9892480,13917798570
2022-03-21,9899307,13946256723
2022-03-22,9905789,13973142219
2022-03-23,9912621,14012382302
2022-03-24,9919007,14061905485
2022-03-25,9924958,14100214036
2022-03-26,9930657,14131394239
2022-03-27,9936717,14163149245
2022-03-28,9941495,14189676199
2022-03-29,9945629,14210791655
2022-03-30,9951000,14248307454
2022-03-31,9957674,14294151162
2022-04-01,9963656,14350827393
2022-04-02,9970258,14406995348
2022-04-03,9983819,14489082084
2022-04-04,9991999,14549236893
2022-04-05,10002020,14596263966